# Data compiled from Morgan (2003)
# atom   state   wavelength   f_jk       damping_coeff   amu       
  O      II      834.4655     0.132      2.000E8          15.9994   
  O      II      833.3294     0.0886     2.00E8           15.9994   
  O      II      832.7572     0.0444     2.00E8           15.9994   
  O      III     832.927      0.107      2.000E8          15.9994   
  O      III     702.332      0.137      2.000E8          15.9994   
  O      III     507.391      0.185      2.000E8          15.9994   
  O      IV      787.711      0.11       2.000E8          15.9994   
  O      VI      1031.9261    0.1325     4.149e8          15.9994   
  O      VI      1037.6167    0.0658     4.076e8          15.9994   
  O      VII     21.60169     0.696      3.32E12          15.9994   
  O      VII     18.62799     0.146      9.35E11          15.9994   
  F      I       954.8267     0.0817     7.14E8           18.9984032
  F      I       951.8707     0.0165     7.16E8           18.9984032
  Ne     VIII    780.324      0.0505     1.000e8          20.1797   
  Ne     VIII    770.409      0.103      1.000e8          20.1797   
  Na     I       5891.5833    0.6408     6.157e7          22.98977  
  Na     I       5897.5581    0.3201     6.139e7          22.98977  
  Na     I       3303.369     0.0092     9.641e6          22.98977  
  Na     I       3303.978     0.0046     9.639e6          22.98977  
  Na     I       2853.012     6.77E-4    5.54e5           22.98977  
  Na     I       2852.811     0.00135    5.54e5           22.98977  
  Mg     I       2852.96328   1.83       5.000e8          24.305    
  Mg     I       2026.4768    0.113      6.12e7           24.305    
  Mg     I       1827.9351    0.0242     1.610e7          24.305    
  Mg     I       1747.7937    0.00908    6.61e6           24.305    
  Mg     I       1707.0606    0.00437    3.330e6          24.305    
  Mg     I       1683.4116    0.00249    1.95E6           24.305    
  Mg     I       1668.4288    0.0016     1.28e6           24.305    
  Mg     II      2796.3542699 0.6155     2.68e8           24.305    
  Mg     II      2803.5314853 0.3058     2.66e8           24.305    
  Mg     II      1240.3947    3.56E-4    1.54e6           24.305    
  Mg     II      1239.9253    6.32E-4    1.37e6           24.305    
  Mg     II      1026.1134    3.92E-4    2.48e6           24.305    
  Mg     II      1025.9681    7.43E-4    2.35e6           24.305    
  Mg     X       624.95       0.041      2.000E8          24.305    
  Mg     X       609.79       0.0842     2.000E8          24.305    
  Al     I       3945.1224    0.116      1.48e8           26.981538 
  Al     I       3083.0462    0.177      7.45e7           26.981538 
  Al     I       2367.775     0.106      7.58e7           26.981538 
  Al     I       2264.1647    0.0892     7.14e7           26.981538 
  Al     II      1670.7886    1.74       1.390e9          26.981538 
  Al     III     1862.79113   0.278      5.34e8           26.981538 
  Al     III     1854.71829   0.559      5.42e8           26.981538 
  Si     I       2515.0725    0.211      2.22e8           28.0855   
  Si     I       1845.5205    0.27       1.76e8           28.0855   
  Si     I       1693.2939    0.156      1.21e8           28.0855   
  Si     I       1631.17      0.2051     1.714e8          28.0855   
  Si     I       1562.002     0.3758     3.425e8          28.0855   
  Si     II      2335.123     4.25E-6    9.61e3           28.0855   
  Si     II      1808.01288   0.00208    2.38e6           28.0855   
  Si     II      1526.70698   0.133      1.13E9           28.0855   
  Si     II      1304.3702    0.0863     1.01E9           28.0855   
  Si     II      1260.4221    1.18       2.95E9           28.0855   
  Si     II      1193.2897    0.582      4.07e9           28.0855   
  Si     II      1190.4158    0.292      4.08E9           28.0855   
  Si     II      1020.6989    0.0168     6.680e8          28.0855   
  Si     II      989.8731     0.171      6.673e8          28.0855   
  Si     II*     1533.4316    0.132      1.13E9           28.0855   
  Si     II*     1309.2757    0.086      1.01E9           28.0855   
  Si     II*     1265.002     0.117      2.95E9           28.0855   
  Si     II*     1264.7377    1.05       2.93E9           28.0855   
  Si     II*     1197.3938    0.145      4.07e9           28.0855   
  Si     II*     1194.5002    0.727      4.08E9           28.0855   
  Si     III     1206.5       1.63       2.48e9           28.0855   
  Si     IV      1393.76018   0.513      8.80e8           28.0855   
  Si     IV      1402.77291   0.254      8.62e8           28.0855   
  P      I       1774.9487    0.169      2.38e8           30.973761 
  P      I       1782.8291    0.113      2.38e8           30.973761 
  P      II      1532.533     0.00303    4.77e6           30.973761 
  P      II      1301.8743    0.0127     4.82e7           30.973761 
  P      II      1152.818     0.245      1.23e9           30.973761 
  P      II      963.8005     1.458      4.14E9           30.973761 
  P      II      961.0412     0.3489     5.09e9           30.973761 
  P      III     1334.8132    0.0282     6.32E7           30.973761 
  P      III     997.9996     0.1117     2.220E9          30.973761 
  P      III     917.1178     0.404      4.78E9           30.973761 
