# wave	flux	error	model
# 
1.030519217000000026e+03 1.063040035300000019e+00 9.291802690000000586e-02 9.999996887474248419e-01
1.030544998000000078e+03 1.030424617800000053e+00 1.108044980000000013e-01 9.999996766619658750e-01
1.030570778999999902e+03 9.599762388000000479e-01 9.866867540000000270e-02 9.999996638538433125e-01
1.030596561999999949e+03 1.191453055200000000e+00 1.106046338999999989e-01 9.999996502627145345e-01
1.030622344000000112e+03 1.081992629399999961e+00 1.008603633000000055e-01 9.999996358245952788e-01
1.030648128000000042e+03 1.180214280800000015e+00 9.625227179999999716e-02 9.999996204651535603e-01
1.030673911999999973e+03 1.001772938300000027e+00 1.001596651000000032e-01 9.999996041048466733e-01
1.030699695999999904e+03 1.025325831700000023e+00 1.093590031000000046e-01 9.999995866539268530e-01
1.030725482000000056e+03 1.024241959000000035e+00 1.017050134999999966e-01 9.999995680107517382e-01
1.030751267999999982e+03 1.031666294799999939e+00 9.693621260000000184e-02 9.999995480645605950e-01
1.030777053999999907e+03 9.816328728000000003e-01 8.857336959999999315e-02 9.999995266896233304e-01
1.030802842000000055e+03 1.078811252599999992e+00 9.323984479999999908e-02 9.999995037426310240e-01
1.030828629999999976e+03 9.263847337999999709e-01 9.857236599999999460e-02 9.999994790654912480e-01
1.030854417999999896e+03 1.053360786700000107e+00 1.068514789000000048e-01 9.999994524773899718e-01
1.030880206999999928e+03 1.088940370200000007e+00 9.969955260000000485e-02 9.999994237717378942e-01
1.030905997000000070e+03 1.013058468000000101e+00 1.068522612000000066e-01 9.999993927139922967e-01
1.030931788000000097e+03 1.106506810299999977e+00 9.273437029999999359e-02 9.999993590356385242e-01
1.030957578999999896e+03 1.045925200699999946e+00 8.791695929999999992e-02 9.999993224294717598e-01
1.030983371000000034e+03 8.004967496999999543e-01 1.003933117000000014e-01 9.999992825378348771e-01
1.031009162999999944e+03 9.701327398000000324e-01 9.862980849999999911e-02 9.999992389489782418e-01
1.031034955999999966e+03 9.982974121000000034e-01 1.056799932000000025e-01 9.999991911792104338e-01
1.031060750000000098e+03 1.128053808400000024e+00 1.042193852999999948e-01 9.999991386629597523e-01
1.031086544000000004e+03 1.025284081499999944e+00 9.369243110000000097e-02 9.999990807349582456e-01
1.031112339000000020e+03 1.044306624899999925e+00 9.379253640000000114e-02 9.999990165987810986e-01
1.031138134999999920e+03 9.407568682000000404e-01 9.937310300000000429e-02 9.999989452961941527e-01
1.031163931000000048e+03 9.277072734000000320e-01 9.627569789999999850e-02 9.999988656400337073e-01
1.031189728000000059e+03 9.716452721999999653e-01 9.543320919999999374e-02 9.999987760314494878e-01
1.031215525999999954e+03 9.850847093000000276e-01 1.034534735999999983e-01 9.999986739153298165e-01
1.031241324000000077e+03 9.828127291999999571e-01 9.499307270000000025e-02 9.999985538771229976e-01
1.031267123000000083e+03 9.022857086000000137e-01 1.020011293000000069e-01 9.999984011057427846e-01
1.031292922000000090e+03 8.773952162999999471e-01 1.035286155999999985e-01 9.999981699926481227e-01
1.031318721999999980e+03 9.821388003000000033e-01 1.028345476000000064e-01 9.999977175382658290e-01
1.031344522999999981e+03 9.943837074000000387e-01 1.061111383999999991e-01 9.999966086982369218e-01
1.031370325000000093e+03 1.193226312499999997e+00 9.649935490000000060e-02 9.999935823814918301e-01
1.031396126999999979e+03 1.090448921099999913e+00 9.802971309999999883e-02 9.999851814489421065e-01
1.031421929999999975e+03 1.093832213600000047e+00 9.439724160000000086e-02 9.999624706259622187e-01
1.031447732999999971e+03 1.011458259000000082e+00 9.324139920000000525e-02 9.999037310391009070e-01
1.031473537000000078e+03 8.952353972000000049e-01 9.915586099999999792e-02 9.997593850493968759e-01
1.031499342000000070e+03 9.689967339999999707e-01 1.075365536000000011e-01 9.994234004401093552e-01
1.031525147000000061e+03 1.145731860900000010e+00 9.751452979999999937e-02 9.986838980422682033e-01
1.031550952999999936e+03 9.931618904000000247e-01 9.757069140000000640e-02 9.971465934074953408e-01
1.031576759999999922e+03 1.039707254699999917e+00 1.014340118999999957e-01 9.941322692632142966e-01
1.031602566999999908e+03 9.243651617000000487e-01 9.664635829999999872e-02 9.885672771741814691e-01
1.031628375000000005e+03 8.905108631999999469e-01 9.475811639999999481e-02 9.789152084013633681e-01
1.031654183000000103e+03 9.548572334999999578e-01 9.109567050000000332e-02 9.632366619825261100e-01
1.031679992999999968e+03 9.208472388999999758e-01 1.042254522999999933e-01 9.394724026073104639e-01
