# b	pdf
4.6247	0.0002771089755700
4.6257	0.0002771117543158
4.6267	0.0002771145330616
4.6277	0.0002771173118075
4.6287	0.0002771200905533
4.6297	0.0002771228692991
4.6307	0.0002771256480449
4.6317	0.0002771284267907
4.6327	0.0002771312055365
4.6337	0.0002771339842824
4.6347	0.0002771367630282
4.6357	0.0002771395417740
4.6367	0.0002771423205198
4.6377	0.0002771450992656
4.6387	0.0002771478780115
4.6397	0.0002771506567573
4.6407	0.0002771534355031
4.6417	0.0002771562142489
4.6427	0.0002771589929947
4.6437	0.0002771617717405
4.6447	0.0002771645504864
4.6457	0.0002771673292322
4.6467	0.0002771701079780
4.6477	0.0002771728867238
4.6487	0.0002771756654696
4.6497	0.0002771784442154
4.6507	0.0002771812229613
4.6517	0.0002771840017071
4.6527	0.0002771867804529
4.6537	0.0002771895591987
4.6547	0.0002771923379445
4.6557	0.0002771951166904
4.6567	0.0002771978954362
4.6577	0.0002772006741820
4.6587	0.0002772034529278
4.6597	0.0002772062316736
4.6607	0.0002772090104194
4.6617	0.0002772117891653
4.6627	0.0002772145679111
4.6637	0.0002772173466569
4.6647	0.0002772201254027
4.6657	0.0002772229041485
4.6667	0.0002772256828943
4.6677	0.0002772284616402
4.6687	0.0002772312403860
4.6697	0.0002772340191318
4.6707	0.0002772367978776
4.6717	0.0002772395766234
4.6727	0.0002772423553692
4.6737	0.0002772451341151
4.6747	0.0002772479128609
4.6757	0.0002772506916067
4.6767	0.0002772534703525
4.6777	0.0002772562490983
4.6787	0.0002772590278442
4.6797	0.0002772618065900
4.6807	0.0002772645853358
4.6817	0.0002772673640816
4.6827	0.0002772701428274
4.6837	0.0002772729215732
4.6847	0.0002772757003191
4.6857	0.0002772784790649
4.6867	0.0002772812578107
4.6877	0.0002772840365565
4.6887	0.0002772868153023
4.6897	0.0002772895940481
4.6907	0.0002772923727940
4.6917	0.0002772951515398
4.6927	0.0002772979302856
4.6937	0.0002773007090314
4.6947	0.0002773034877772
4.6957	0.0002773062665231
4.6967	0.0002773090452689
